id,address,name,symbol,description,mediumImageUrl,mimeType,img_text
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0MDA0MzZhOTEyMmQ4YmUwMmQ2NDhmYjdjNjgzODJjNjY1OTYzYTk=,0x0400436a9122d8be02d648fb7c68382c665963a9,Cherepaxa,Cherepaxa,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWQ0d2V0aWd6M3RsajU2ampyZGRicjJyZXp4YXJ2aHJ0cjZ5cXh5cWgyN3h3ZHU2ZWJpbWE=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0MDMxYTU0MTcwZTg3OTkwODNlOTdlYjcwMTRlYjk3NjhmYjMwOTk=,0x04031a54170e8799083e97eb7014eb9768fb3099,"3/7/25, 9:28 PM","3/7/25, 9:28 PM",BomBom,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWFnNHl3ejdka2dxN2w2Y3hsMng3bmI0ajNqM3FkYmNuNmxtbnBkeTNsYTNzbm1kbGNuemU=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0MTE4ZDBlMmUwZjhkZTM4NzU3OWIyZWU5MWQ4YjkwMjJjNTJlOGQ=,0x04118d0e2e0f8de387579b2ee91d8b9022c52e8d,39703,39703,RBY,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWhwdGtueHJkcGFrMnh5cDZhcXpseHd1ZWx5NHc3d3drZWllNndxdGdiNnhucXN3am1wcnk=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0MjZiZDYwZTZjYjliMTcwZTRkNTFhYTk3MWFlNGRlNDEwMTQ5Njg=,0x0426bd60e6cb9b170e4d51aa971ae4de41014968,Luxury life,Luxury life,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWdnZ2Y0MmNzMzYyMmF1N2pmZHJ0NjZ4NGNuNnFhejJoa3p3YXdmaHY3NWMyYmpwdWR4c3E=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0MmQwODlmOWFhMWY5ZjRlOTI4ZWQ1MGFiYjk0OTM3ZTQwYTIwMzE=,0x042d089f9aa1f9f4e928ed50abb94937e40a2031,Front yard 3,Front yard 3,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWI3YnZnN3ppdG9sY3Y1NmplNWg2cHFzbjQ2cXRlNXJuNjRlMm42NzRtam5wZWY3b3h0YmU=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0NDI4ODk3NmM0NWZkN2VlMWI2NDc5ZmQ2YzQ1MWZjYzY4NzRiYzk=,0x044288976c45fd7ee1b6479fd6c451fcc6874bc9,🧿🧿🧿,🧿🧿🧿,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWR0cGZnY3NkMnBnZ3RmcnYydm16YnVnanhocTUyanZybDJiZ3FnN3RpN3FoZG9mMmxyZTQ=,image/gif,
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0NDJmZmRjNWUxYmIzNDEyNjcxNzBiOTQwYjA3MmY5YTE3OTQ2ODY=,0x0442ffdc5e1bb341267170b940b072f9a1794686,Kiryuu,Kiryuu,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWhtb2VkdGdrbWxyNGw1dGRzZnI1Mnc1aTQ1bm1ocG9sZHdpN3Zsbmc0cHd3ZWVmeXprNG0=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0NDcwY2RiMDFjNGVkMDU1NjI4MzAxYjE3MzRhMmEyMmU0Y2Q0ZTU=,0x04470cdb01c4ed055628301b1734a2a22e4cd4e5,require majority,require majority,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWJmZnFpeGppcW9uZGJodGlvcG16MmN0MnZ1cXBjeWNpM3dkdWhqYWo2N2RmcnVsc3V4cWE=,image/png,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0NDgzZjNlMTAwY2Y4OTY3ZDE2OWJmYjIyZmQxOWQxOGQ1M2E1ZDM=,0x04483f3e100cf8967d169bfb22fd19d18d53a5d3,crypto banal,crypto banal,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWQ1NGN0bTdkYWZsMm1pMmdxNGFsc3RibmU3YW9wbDN5dmNxeTdxYmczcHY2Y3JpdnJ6cXE=,image/jpeg,(No text found)
R3JhcGhRTFpvcmEyMFRva2VuOkJBU0UtTUFJTk5FVC4weDA0NTY5MzE4MGE4OGI5ZmJhNDdhNjdiMTAwMDhiZGRjZWM5MjRlYWY=,0x045693180a88b9fba47a67b10008bddcec924eaf,SHIB,SHIB,,https://media.decentralized-content.com/-/rs:fit:1200:1200/f:best/aHR0cHM6Ly9tYWdpYy5kZWNlbnRyYWxpemVkLWNvbnRlbnQuY29tL2lwZnMvYmFmeWJlaWZwbzN1d2o3cjRnbmRqdGVuYmJpbmhpZHJlZWpyeXlrbmRta3VwZmxkMjN2NjI0Mno0ajQ=,image/png,(No text found)
